epoch,accuracy,loss,val_accuracy,val_loss
0,0.35427621006965637,1.3333412408828735,0.4121037423610687,1.297017216682434
1,0.6601162552833557,0.9842676520347595,0.6570605039596558,0.9381364583969116
2,0.7882645726203918,0.5735266804695129,0.6916426420211792,0.8189884424209595
3,0.8480486869812012,0.4110885560512543,0.6916426420211792,0.8774369955062866
4,0.8837531208992004,0.3279061019420624,0.6685879230499268,0.8956535458564758
5,0.9089399576187134,0.26380205154418945,0.6916426420211792,0.9279269576072693
6,0.9296982884407043,0.21670332551002502,0.6685879230499268,1.025066614151001
7,0.9421533346176147,0.1847871094942093,0.6743515729904175,1.0252835750579834
8,0.9543315768241882,0.15369217097759247,0.6685879230499268,1.128090500831604
9,0.9601439237594604,0.13396590948104858,0.6714697480201721,1.2098169326782227
10,0.9654027223587036,0.11936128884553909,0.6570605039596558,1.2696367502212524
11,0.9670633673667908,0.10714571177959442,0.6541786789894104,1.3690645694732666
12,0.9698311686515808,0.1030382513999939,0.6714697480201721,1.3741909265518188
13,0.9692776203155518,0.09063557535409927,0.651296854019165,1.437296986579895
14,0.9745364189147949,0.08158233016729355,0.6599423885345459,1.4842839241027832
15,0.9745364189147949,0.07935002446174622,0.6484149694442749,1.519289255142212
16,0.9753667116165161,0.08144135028123856,0.6685879230499268,1.5498565435409546
17,0.976473867893219,0.07613670080900192,0.6570605039596558,1.5934721231460571
18,0.9761970639228821,0.07103338092565536,0.639769434928894,1.6138752698898315
19,0.975643515586853,0.06699363887310028,0.6772334575653076,1.6451194286346436
20,0.9761970639228821,0.06428859382867813,0.6628242135047913,1.660050392150879
21,0.977027416229248,0.062313392758369446,0.6714697480201721,1.7123641967773438
22,0.975643515586853,0.06788395345211029,0.6541786789894104,1.7088826894760132
23,0.9775809645652771,0.06583081185817719,0.6714697480201721,1.6984426975250244
24,0.977027416229248,0.05984741449356079,0.6685879230499268,1.7326910495758057
